sku,name,generic_name,brand_name,category_code,strength,base_unit_abbreviation,purchase_unit_abbreviation,dispensing_unit_abbreviation,selling_price,reorder_level,status,manage_stock
CAL-SYP-001,"CALPOL 6PLUS SYP",,,SYP,,SYP,SYP,SYP,108.18000000000001,5,active,1
LEV-SYP,"LEVIJON SYP",,,SYP,,SYP,SYP,SYP,298,5,active,1
FIB-SYP,"FIBOREEN SYP",,,SYP,,SYP,SYP,SYP,395,5,active,1
DES-SYP,"DESLOFEN SYP",,,SYP,,SYP,SYP,SYP,321.44,5,active,1
DEZ-SYP,"DEZIKA SYP",,,SYP,,SYP,SYP,SYP,280,5,active,1
EXC-SYP,"EXCIP 125 SYP",,,SYP,,SYP,SYP,SYP,192,5,active,1
EXC-SYP-001,"EXCIP 250 SYP",,,SYP,,SYP,SYP,SYP,350,5,active,1
LUF-SYP,"LUFTHER SYP",,,SYP,,SYP,SYP,SYP,191,5,active,1
BIN-SYP,"BINCNIL SYP",,,SYP,,SYP,SYP,SYP,290,5,active,1
MUC-SYP-002,"MUCOL SYP",,,SYP,,SYP,SYP,SYP,260,5,active,1
TYL-SYP,"TYLEF SYP",,,SYP,,SYP,SYP,SYP,230,5,active,1
VIM-SYP,"VIMACEF SYP",,,SYP,,SYP,SYP,SYP,295,5,active,1
DOM-SYP-001,"DOMPRO SYP",,,SYP,,SYP,SYP,SYP,178,5,active,1
LEX-SYP,"LEXOTECH SYP",,,SYP,,SYP,SYP,SYP,250,5,active,1
TEM-SYP,"TEMPRAMIN SYP",,,SYP,,SYP,SYP,SYP,72,5,active,1
PRE-SYP,"PRELTON V SYP",,,SYP,,SYP,SYP,SYP,178,5,active,1
PEL-SYP-001,"PELTON C SYP",,,SYP,,SYP,SYP,SYP,178,5,active,1
GRO-SYP,"GROTH SYP",,,SYP,,SYP,SYP,SYP,290,5,active,1
ANT-SYP-001,"ANTASIP SYP",,,SYP,,SYP,SYP,SYP,360,5,active,1
GAN-SYP,"GANSIL SYP",,,SYP,,SYP,SYP,SYP,720,5,active,1
CAL-600MG-TABCAP,"CALDREE 600MG TAB",,,TAB_CAP,600MG,TAB,TAB,TAB,22.030000000000001,12,active,1
CAL-TABCAP,"CALDREE DS TAB",,,TAB_CAP,,TAB,TAB,TAB,37.76,12,active,1
VIL-500MG-TABCAP,"VILDOMET 50/500MG TAB",,,TAB_CAP,500MG,TAB,TAB,TAB,28.29,12,active,1
VIL-850MG-TABCAP,"VILDOMET 50/850MG TAB",,,TAB_CAP,850MG,TAB,TAB,TAB,35.57,12,active,1
VIL-1000MG-TABCAP,"VILDOMET 50/1000MG TAB",,,TAB_CAP,1000MG,TAB,TAB,TAB,38.57,12,active,1
EMP-500MG-TABCAP,"EMPAGLIMET 12.5/500MG",,,TAB_CAP,500MG,TAB,TAB,TAB,31.43,12,active,1
EMP-1000MG-TABCAP,"EMPAGLIMET 12.5/1000MG",,,TAB_CAP,1000MG,TAB,TAB,TAB,35.43,12,active,1
EMP-850MG-TABCAP,"EMPAGLIMET 12.5/850MG",,,TAB_CAP,850MG,TAB,TAB,TAB,35.43,12,active,1
MIX-400MG-TABCAP,"MIXEL 400MG CAP",,,TAB_CAP,400MG,TAB,TAB,TAB,115.92,12,active,1
ZOL-TABCAP,"ZOLKI TAB",,,TAB_CAP,,TAB,TAB,TAB,75,12,active,1
CQ1-TABCAP,"CQ10 CAP",,,TAB_CAP,,TAB,TAB,TAB,75.52,12,active,1
MUS-TABCAP,"MUSCOLIN TAB",,,TAB_CAP,,TAB,TAB,TAB,25,12,active,1
UFR-10MG-TABCAP,"UFRIM 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,27.57,12,active,1
UFR-20MG-TABCAP,"UFRIM 20MG TAB",,,TAB_CAP,20MG,TAB,TAB,TAB,38.57,12,active,1
ESK-20MG-TABCAP,"ESKEM 20MG CAP",,,TAB_CAP,20MG,TAB,TAB,TAB,25.21,12,active,1
ESK-40MG-TABCAP,"ESKEM 40MG CAP",,,TAB_CAP,40MG,TAB,TAB,TAB,40,12,active,1
PYT-20MG-TABCAP,"PYTEX 20MG TAB",,,TAB_CAP,20MG,TAB,TAB,TAB,22.4,12,active,1
POL-TABCAP,"POLYMALT TAB",,,TAB_CAP,,TAB,TAB,TAB,15.37,12,active,1
POL-TABCAP-001,"POLYMALT-F TAB",,,TAB_CAP,,TAB,TAB,TAB,13.62,12,active,1
ITO-TABCAP,"ITOPER TAB",,,TAB_CAP,,TAB,TAB,TAB,22.58,12,active,1
AML-5MG-TABCAP,"AMLO-Q 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,10.8,12,active,1
AML-10MG-TABCAP,"AMLO-Q 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,12.93,12,active,1
SUL-25MG-TABCAP,"SULVORID 25MG TAB",,,TAB_CAP,25MG,TAB,TAB,TAB,16.7,12,active,1
SUL-50MG-TABCAP,"SULVORID 50MG TAB",,,TAB_CAP,50MG,TAB,TAB,TAB,23.2,12,active,1
MAX-400MG-TABCAP,"MAXFOL 400MG TAB",,,TAB_CAP,400MG,TAB,TAB,TAB,13.37,12,active,1
MAX-600MG-TABCAP,"MAXFOL 600MG TAB",,,TAB_CAP,600MG,TAB,TAB,TAB,17.31,12,active,1
STA-10MG-TABCAP,"STAT-A 10MG TAB",,,TAB_CAP,10MG,TAB,TAB,TAB,20.57,12,active,1
STA-20MG-TABCAP,"STAT-A 20MG TAB",,,TAB_CAP,20MG,TAB,TAB,TAB,24.29,12,active,1
RUL-40MG-TABCAP,"RULING 40MG CAP",,,TAB_CAP,40MG,TAB,TAB,TAB,34.29,12,active,1
FRE-5MG-TABCAP,"FREEHALE 5MG TAB",,,TAB_CAP,5MG,TAB,TAB,TAB,24.29,12,active,1
